Taster,Beer,Can Appearance,Beer Appearance,Aroma,Mouth Feel,Taste,Overall
Adam,Anderson Valley G&T Gose,8,6,8,5,5,6
Adam,Jack's Abbey Copper Legend,7,7,6,7,5,5
Adam,Lamplighter Rabbit Rabbit,8,4,7,6,3,4
Adam,Shipyard Pumpkinhead,6,9,3,7,7,7
Adam,Maui Coconut Hiwa Porter,7,3,3,6,2,3
Adam,Shiner Ruby Redbird,5,7,7,7,7,7
Adam,Tank 7 Farmhouse Ale,7,8,5,6,5,6
Adam,Dogfish Head Romantic Chemistry,5,6,5,7,6,6
Adam,Dogfish Head Flesh & Blood IPA,6,5,6,5,4,4
Adam,Harpoon Flannel Friday,4,5,5,4,4,4
Adam,Dogfish Head 60 Minute IPA,3,7,5,5,5,5
Adam,Kentucky Bourbon Barrel Stout,7,3,4,3,2,3
Dan,Shiner Ruby Redbird,8,4,8,3,5,5
Dan,Tank 7 Farmhouse Ale,6,5,6,6,8,7
Dan,Dogfish Head Romantic Chemistry,6,6,7,6,7,6
Dan,Dogfish Head Flesh & Blood IPA,8,7,7,3,5,6
Dan,Harpoon Flannel Friday,7,8,4,6,7,7
Dan,Dogfish Head 60 Minute IPA,6,6,7,6,7,7
Dan,Kentucky Bourbon Barrel Stout,6,7,8,6,7,7
Kyle,Anderson Valley G&T Gose,8,3,5,5,2,2
Kyle,Jack's Abbey Copper Legend,3,7,2,5,4,5
Kyle,Lamplighter Rabbit Rabbit,5,4,3,2,2,2
Kyle,Shipyard Pumpkinhead,5,4,4,4,4,3
Kyle,Maui Coconut Hiwa Porter,7,5,4,2,2,2
Kyle,Shiner Ruby Redbird,5,4,5,4,4,4
Kyle,Tank 7 Farmhouse Ale,8,5,7,7,7,8
Kyle,Dogfish Head Romantic Chemistry,7,6,4,4,4,3
Kyle,Dogfish Head Flesh & Blood IPA,4,6,5,4,4,4
Kyle,Harpoon Flannel Friday,6,7,5,8,8,7
Kyle,Dogfish Head 60 Minute IPA,5,3,3,6,6,6
Kyle,Kentucky Bourbon Barrel Stout,5,5,5,5,5,5
Maureen,Anderson Valley G&T Gose,5,4,6,7,4,4
Maureen,Jack's Abbey Copper Legend,2,6,2,5,4,3
Maureen,Lamplighter Rabbit Rabbit,8,9,10,8,9,9
Maureen,Shipyard Pumpkinhead,5,4,6,3,3,4
Maureen,Maui Coconut Hiwa Porter,10,8,7,5,3,3
Maureen,Shiner Ruby Redbird,7,3,5,4,5,5
Maureen,Tank 7 Farmhouse Ale,8,6,8,9,7,7
Maureen,Dogfish Head Romantic Chemistry,7,8,6,3,4,5
Maureen,Dogfish Head Flesh & Blood IPA,3,4,7,4,2,2
Maureen,Harpoon Flannel Friday,9,6,5,2,4,4
Maureen,Dogfish Head 60 Minute IPA,4,4,5,6,6,6
Maureen,Kentucky Bourbon Barrel Stout,2,7,7,5,6,7
Max,Anderson Valley G&T Gose,8,4,6,2,5,5
Max,Jack's Abbey Copper Legend,5,6,4,6,6,5
Max,Lamplighter Rabbit Rabbit,9,9,8,6,8,9
Max,Shipyard Pumpkinhead,6,6,8,6,6,6
Max,Maui Coconut Hiwa Porter,7,7,9,8,8,8
Max,Shiner Ruby Redbird,4,5,2,5,2,2
Max,Tank 7 Farmhouse Ale,7,8,8,8,9,9
Max,Dogfish Head Romantic Chemistry,6,6,5,4,4,4
Max,Dogfish Head Flesh & Blood IPA,7,6,7,3,2,3
Max,Harpoon Flannel Friday,6,7,4,5,6,6
Max,Dogfish Head 60 Minute IPA,5,7,8,7,7,7
Max,Kentucky Bourbon Barrel Stout,6,8,9,8,7,7
Rose,Anderson Valley G&T Gose,7,6,8,5,6,7
Rose,Jack's Abbey Copper Legend,3,4,4,5,3,4
Rose,Lamplighter Rabbit Rabbit,9,5,6,3,2,4
Rose,Shipyard Pumpkinhead,8,10,5,8,6,6
Rose,Maui Coconut Hiwa Porter,10,2,2,4,2,2
Rose,Shiner Ruby Redbird,6,7,3,6,7,7
Rose,Tank 7 Farmhouse Ale,9,8,5,2,8,7
Rose,Dogfish Head Romantic Chemistry,7,6,9,7,5,6
Rose,Dogfish Head Flesh & Blood IPA,8,7,6,4,2,4
Rose,Harpoon Flannel Friday,6,5,4,4,4,3
Rose,Dogfish Head 60 Minute IPA,3,6,4,3,4,5
Rose,Kentucky Bourbon Barrel Stout,5,5,5,5,5,5
Rosie,Anderson Valley G&T Gose,9,7,6,5,6,8
Rosie,Jack's Abbey Copper Legend,2,4,1,6,2,3
Rosie,Lamplighter Rabbit Rabbit,9,6,8,6,2,3
Rosie,Shipyard Pumpkinhead,2,8,9,7,6,6
Rosie,Maui Coconut Hiwa Porter,10,6,6,7,6,7
Rosie,Shiner Ruby Redbird,5,5,5,4,6,7
Rosie,Tank 7 Farmhouse Ale,8,9,6,4,4,4
Rosie,Dogfish Head Romantic Chemistry,6,8,5,5,5,5
Rosie,Dogfish Head Flesh & Blood IPA,7,6,6,4,5,4
Rosie,Harpoon Flannel Friday,9,9,2,2,2,2
Rosie,Dogfish Head 60 Minute IPA,4,5,5,5,2,3
Rosie,Kentucky Bourbon Barrel Stout,8,8,8,5,3,3
